,PostalCode,AfterTaxIncome2015,Population_2016,Bourough,Neighborhood,Latitude,Longitude
30,M5H,70571.0,2005.0,Downtown Toronto,"Adelaide, King, Richmond",43.65057120000001,-79.3845675
15,M5C,69914.0,2951.0,Downtown Toronto,St. James Town,43.6514939,-79.3754179
47,M4L,69292.0,32640.0,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.31557159999998
17,M9C,67878.0,38291.0,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.57720079999999
77,M9R,67497.0,33743.0,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.55472440000001
75,M6R,67057.0,19857.0,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
5,M9A,65760.0,35594.0,Etobicoke,Islington Avenue,43.6678556,-79.53224240000002
33,M2J,65712.0,58293.0,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
54,M4M,65008.0,24689.0,East Toronto,Studio District,43.6595255,-79.340923
27,M2H,64986.0,24497.0,North York,Hillcrest Village,43.8037622,-79.3634517
70,M9P,64448.0,20874.0,Etobicoke,Westmount,43.696319,-79.53224240000002
79,M4S,63902.0,26506.0,Central Toronto,Davisville,43.7043244,-79.3887901
25,M6G,63744.0,32086.0,Downtown Toronto,Christie,43.669542,-79.4225637
93,M8W,63602.0,20674.0,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
28,M3H,63342.0,37011.0,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593
101,M8Y,63142.0,21299.0,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.49850909999999
6,M1B,62789.0,66108.0,Scarborough,"Rouge, Malvern",43.806686299999996,-79.19435340000001
44,M1L,61884.0,35081.0,Scarborough,"Clairlea, Golden Mile, Oakridge",43.711111700000004,-79.2845772
16,M6C,60516.0,24596.0,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
51,M1M,60505.0,22913.0,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.23947609999999
85,M1V,59910.0,54680.0,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
94,M9W,59873.0,40684.0,Etobicoke,Northwest,43.706748299999994,-79.5940544
39,M2K,59578.0,23852.0,North York,Bayview Village,43.7869473,-79.385975
69,M6P,59549.0,40035.0,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
90,M1W,59517.0,48471.0,Scarborough,"L'Amoreaux West, Steeles West",43.799525200000005,-79.3183887
10,M6B,59401.0,28522.0,North York,Glencairn,43.709577,-79.44507259999999
50,M9L,58189.0,11950.0,North York,Humber Summit,43.7563033,-79.56596329999999
78,M1S,57738.0,37769.0,Scarborough,Agincourt,43.7942003,-79.26202940000002
0,M3A,57698.0,34615.0,North York,Parkwoods,43.7532586,-79.3296565
41,M4K,57366.0,31583.0,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
57,M9M,56743.0,22263.0,North York,"Emery, Humberlea",43.7247659,-79.53224240000002
40,M3K,56653.0,5997.0,North York,"CFB Toronto, Downsview East",43.737473200000004,-79.46476329999999
31,M6H,56439.0,44950.0,West Toronto,"Dovercourt Village, Dufferin",43.66900510000001,-79.4422593
18,M1E,56128.0,46943.0,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
46,M3L,55461.0,17339.0,North York,Downsview West,43.7390146,-79.5069436
89,M9V,55443.0,55959.0,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.739416399999996,-79.5884369
59,M2N,55348.0,75897.0,North York,Willowdale South,43.7701199,-79.40849279999999
21,M6E,55248.0,38041.0,York,Caledonia-Fairbanks,43.6890256,-79.453512
71,M1R,55016.0,29858.0,Scarborough,"Maryvale, Wexford",43.750071500000004,-79.2958491
52,M2M,54608.0,32320.0,North York,"Newtonbrook, Willowdale",43.789053,-79.40849279999999
8,M4B,54234.0,18628.0,East York,"Woodbine Gardens, Parkview Hill",43.7063972,-79.309937
26,M1H,53171.0,24383.0,Scarborough,Cedarbrae,43.773136,-79.23947609999999
88,M8V,53099.0,37975.0,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000001
67,M4P,52701.0,20039.0,Central Toronto,Davisville North,43.7127511,-79.3901975
63,M6N,52307.0,41243.0,York,"The Junction North, Runnymede",43.67318529999999,-79.48726190000001
65,M1P,51653.0,45571.0,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights",43.7574096,-79.27330400000001
13,M3C,51517.0,39153.0,North York,"Flemingdon Park, Don Mills South",43.72589970000001,-79.340923
72,M2R,51172.0,40792.0,North York,Willowdale West,43.7827364,-79.4422593
22,M1G,50870.0,29690.0,Scarborough,Woburn,43.7709921,-79.21691740000001
49,M6L,50729.0,20616.0,North York,"Maple Leaf Park, North Park, Upwood Park",43.713756200000006,-79.4900738
32,M1J,50704.0,36699.0,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
53,M3M,50498.0,24046.0,North York,Downsview Central,43.7284964,-79.49569740000001
34,M3J,49804.0,25473.0,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
1,M4A,49453.0,14443.0,North York,Victoria Village,43.725882299999995,-79.31557159999998
82,M1T,49272.0,34588.0,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.7816375,-79.3043021
3,M6A,49060.0,21048.0,North York,"Lawrence Heights, Lawrence Manor",43.718517999999996,-79.46476329999999
38,M1K,49001.0,48434.0,Scarborough,"East Birchmount Park, Ionview, Kennedy Park",43.7279292,-79.26202940000002
56,M6M,48555.0,42434.0,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.6911158,-79.47601329999999
43,M6K,48032.0,40957.0,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.6368472,-79.42819140000002
80,M5S,47241.0,15372.0,Downtown Toronto,"Harbord, University of Toronto",43.6626956,-79.4000493
2,M5A,46938.0,41078.0,Downtown Toronto,"Harbourfront, Regent Park",43.6542599,-79.3606359
99,M4Y,46324.0,30472.0,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
64,M9N,45952.0,25074.0,York,Weston,43.706876,-79.51818840000001
9,M5B,45227.0,12785.0,Downtown Toronto,"Ryerson, Garden District",43.6571618,-79.37893709999999
60,M3N,45033.0,41958.0,North York,Downsview Northwest,43.7616313,-79.52099940000001
24,M5G,44704.0,8423.0,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
29,M4H,41979.0,19688.0,East York,Thorncliffe Park,43.7053689,-79.34937190000001
84,M5T,41047.0,17748.0,Downtown Toronto,"Chinatown, Grange Park, Kensington Market",43.6532057,-79.4000493
96,M4X,37555.0,20822.0,Downtown Toronto,"Cabbagetown, St. James Town",43.667967,-79.3676753
48,M5L,0.0,0.0,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001
76,M7R,0.0,,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
4,M7A,0.0,10.0,Queen's Park,Queen's Park,43.6623015,-79.3894938
97,M5X,0.0,10.0,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
42,M5K,0.0,0.0,Downtown Toronto,"Design Exchange, Toronto Dominion Centre",43.6471768,-79.38157640000001
100,M7Y,0.0,10.0,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
92,M5W,0.0,15.0,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
